 zcr, rms, centroid, rolloff, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13,filename,duration[ms],age,gender,delta
0.03,0.0429,329.512,539.162,-413.471,51.3971,5.8875,9.6114,9.4022,1.1671,1.4661,-1.7803,-5.9763,-7.1838,-4.4581,-2.4359,-6.9448,common_voice_es_40198068.mp3,3492,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0611,0.07,592.9357,907.2452,-399.4909,83.4632,9.4009,19.8072,16.2241,-1.6093,0.4467,-3.3244,-6.8065,-5.5,-4.5044,-2.7352,-7.8514,common_voice_es_40198123.mp3,5004,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0413,0.0393,402.9741,629.6278,-426.2752,59.5767,4.3195,11.3966,9.5014,-1.9595,-2.0112,-6.5717,-8.0065,-5.857,-5.0597,-4.1326,-4.8942,common_voice_es_40198205.mp3,3420,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1226,0.0702,1030.34,1401.62,-385.2258,75.2838,7.1927,6.9099,10.5831,-0.2949,-4.1711,-7.3516,-8.284,-6.1666,-2.8164,-1.033,-5.1668,common_voice_es_40198210.mp3,4788,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0911,0.0782,1133.96,1584.84,-399.7074,94.6571,15.0036,10.9223,2.4235,-5.288,-5.254,-17.9582,-14.1656,-4.5757,-4.2615,-0.6482,-3.9895,common_voice_es_40198270.mp3,6120,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0409,0.0561,406.6774,594.4964,-434.7842,59.2771,11.0853,8.4713,7.1917,-4.2705,-9.641,-11.6348,-6.231,-0.8832,-5.2079,-7.1148,-2.7136,common_voice_es_40198506.mp3,3420,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0353,0.0458,384.4672,616.7396,-417.5976,60.9806,10.2756,9.014,6.0761,-3.0838,-3.4776,-8.6719,-9.7447,-5.0248,-4.5099,-3.5246,-3.1654,common_voice_es_40200290.mp3,3492,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0642,0.0641,625.4129,992.4861,-403.9423,89.6183,8.3418,7.4345,6.4336,-0.5336,3.9174,-3.2046,-9.6449,-6.9628,-1.0191,-1.4826,-10.9796,common_voice_es_40200294.mp3,4320,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0602,0.0711,554.5784,926.4033,-412.4126,85.4407,7.9739,20.3797,10.5227,-6.9041,-1.0655,-9.4575,-12.5135,-5.1437,-3.581,-4.8679,-9.5768,common_voice_es_40200333.mp3,3600,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0952,0.071,862.6349,1329.17,-374.0022,101.739,12.7196,19.8487,-0.3469,-15.7605,-4.0221,-15.9433,-17.1277,-7.1187,-6.3672,-5.3955,-10.9054,common_voice_es_40200361.mp3,5040,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0875,0.0905,786.4832,1221.74,-383.0787,103.0626,14.1403,23.6111,3.3461,-14.9009,-4.2953,-15.5166,-16.9274,-8.9987,-11.1172,-8.3265,-6.4461,common_voice_es_40200370.mp3,4860,senior,male,cv-corpus-18.0-delta-2024-06-14
0.054,0.0511,502.6238,785.7783,-451.3879,69.1584,11.0082,25.2842,13.6684,-3.5901,-1.7418,-9.8782,-9.0101,-6.3984,-9.1055,-4.2245,-5.7534,common_voice_es_40200473.mp3,4248,senior,male,cv-corpus-18.0-delta-2024-06-14
0.2555,0.0426,2310.04,3362.16,-414.3291,63.1455,18.3748,9.0288,-6.8858,8.0011,-0.7381,5.5369,-9.0446,-11.7343,-8.3275,0.6132,-15.5228,common_voice_es_40200533.mp3,5076,adult,male,cv-corpus-18.0-delta-2024-06-14
0.0669,0.0323,741.0656,1305.93,-485.6162,42.3455,6.6321,14.3084,-0.3305,3.1936,7.1353,3.4283,-4.3582,-6.8479,-5.7537,-0.3944,-6.3781,common_voice_es_40201673.mp3,2412,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2229,0.0373,1940.14,3041.5,-395.872,86.0252,14.5851,13.1085,11.1091,2.7776,-17.9691,12.1967,-22.809,-16.8179,-4.4656,-2.8435,-16.1941,common_voice_es_40201679.mp3,5436,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1155,0.0156,1018.8,1673.12,-516.164,20.9285,5.1149,4.6467,0.5751,3.7635,1.0823,3.4962,-4.5505,-2.1475,-3.0199,0.329,-4.6067,common_voice_es_40201680.mp3,2556,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2218,0.0379,1935.39,3044.54,-434.8488,74.7835,1.2751,3.2734,7.3587,3.1749,-3.2411,8.9785,-16.6007,-15.7049,-9.7958,-2.0299,-12.9072,common_voice_es_40201682.mp3,4644,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1971,0.0521,1823.43,2890.43,-415.5932,60.5128,6.7049,23.8999,-1.1924,-8.8203,1.1698,-1.5197,-17.4187,-5.9203,-10.1923,1.7932,-10.5675,common_voice_es_40201869.mp3,4176,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2267,0.0577,2109.33,3237.61,-336.407,85.3236,0.422,5.625,1.8377,0.576,-3.931,1.2757,-15.8605,-9.2321,-9.4705,-3.0719,-13.4086,common_voice_es_40201875.mp3,5292,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2045,0.0718,1966.41,3103.25,-334.0329,88.7614,12.3491,8.3076,-4.5734,-3.5897,-4.3057,-6.0527,-19.0034,-10.0024,-4.5907,-5.8284,-14.1487,common_voice_es_40201876.mp3,5832,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2267,0.0453,2120.16,3258.01,-379.7639,58.9432,12.2288,28.275,15.5853,8.0661,-2.2816,-6.0262,-21.1148,-15.2937,-11.4277,-7.8335,-15.124,common_voice_es_40201890.mp3,6120,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1301,0.0421,1228.67,1919.98,-452.5256,37.1152,5.7509,24.6585,6.5942,-7.2815,-3.0472,2.0536,-11.842,-6.3952,-4.4387,0.7477,-5.8268,common_voice_es_40201892.mp3,2700,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1505,0.0661,1406.39,2161.52,-385.3829,52.2592,4.0648,13.2236,3.2593,-1.5321,-2.7463,4.9521,-12.274,-10.2841,-6.108,-0.3732,-13.4492,common_voice_es_40201897.mp3,3492,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1851,0.0506,1902.52,2988.65,-384.8742,77.8328,-0.3654,25.1384,7.3723,-9.387,-5.953,5.5851,-20.4079,-15.3755,-14.3182,-3.3556,-13.5533,common_voice_es_40201900.mp3,5904,adult,male,cv-corpus-18.0-delta-2024-06-14
0.172,0.0507,1628.66,2478.75,-402.3258,80.2497,6.9449,25.9958,5.936,-5.5749,-9.2927,-1.1378,-16.9481,-7.6554,-7.4809,-8.1297,-14.4884,common_voice_es_40201904.mp3,7056,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2285,0.0682,2255.77,3327.98,-378.1859,55.7204,4.1869,13.2085,2.4388,4.3335,4.8803,1.01,-15.8216,-14.2362,-8.3027,-1.7831,-14.9994,common_voice_es_40201907.mp3,5832,adult,male,cv-corpus-18.0-delta-2024-06-14
0.25,0.0608,2200.71,3035.88,-378.4564,54.79,12.858,20.3299,0.3129,0.762,-9.8972,-1.0061,-15.0139,-10.5665,-11.1054,0.1739,-9.1166,common_voice_es_40201909.mp3,7776,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2455,0.0341,2076.39,3234.13,-400.5733,80.7055,-4.6784,5.242,16.5217,-10.6542,-4.7291,3.9707,-18.3203,-12.0104,-9.2233,-4.5476,-19.4286,common_voice_es_40204454.mp3,7164,adult,male,cv-corpus-18.0-delta-2024-06-14
0.087,0.0284,981.9956,1715.22,-483.1638,55.1335,-3.2663,6.635,4.5023,4.2921,9.5265,7.8095,-6.0977,-4.0145,-4.2709,1.0497,-7.856,common_voice_es_40204462.mp3,2772,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2084,0.0464,1992.43,2971.44,-398.4912,84.2136,-3.1899,19.0839,11.0943,-8.5251,10.6694,6.5452,-16.111,-9.6967,-6.4476,-2.6285,-13.3883,common_voice_es_40204471.mp3,5040,adult,male,cv-corpus-18.0-delta-2024-06-14
0.232,0.0466,1974.34,3070.11,-389.9205,99.8362,3.8969,3.9717,-1.5956,0.8734,0.459,10.3454,-16.7242,-13.8356,-8.5772,0.5054,-21.3988,common_voice_es_40204483.mp3,5292,adult,male,cv-corpus-18.0-delta-2024-06-14
0.0193,0.0339,227.1894,411.0768,-453.7529,46.4975,3.7696,4.0838,2.886,-2.5342,-1.5014,-3.5193,-2.8742,-2.4534,-3.7509,-3.0454,-4.6175,common_voice_es_40219909.mp3,2736,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0666,0.065,619.8944,1002.54,-419.7751,87.1776,13.2564,25.4059,16.5865,-4.5962,-4.8723,-10.1554,-9.8988,-9.9552,-11.2097,-3.6389,-7.1017,common_voice_es_40219960.mp3,4572,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0457,0.0473,435.3238,666.3018,-451.9993,64.7297,8.3579,11.472,6.8636,-2.026,0.834,-3.7282,-5.8497,-5.3354,-5.0467,-2.5964,-5.3637,common_voice_es_40220330.mp3,3132,senior,male,cv-corpus-18.0-delta-2024-06-14
